ClientSource,Rumor_Count,NonRumor_Count
360安全浏览器,137,209
Android客户端,373,35
OPPO智能手机,38,4
Smartisan T1,2,1
UC浏览器电脑版,1,7
Weico.Android,7,1
Weico.iPhone,31,5
WeicoPro,10,21
YunOS,2,1
iPad mini,8,1
iPad客户端,96,4
iPhone 5s,151,29
iPhone 6,167,100
iPhone 6 Plus,137,60
iPhone 6s,2,7
iPhone客户端,891,83
null,214,48
vivo_X5Max,5,3
三星 GALAXY S5,9,1
三星Galaxy NOTE III,32,5
三星Galaxy Note II,53,8
三星android智能手机,16,2
专业版微博,66,89
分享按钮,15,2
华为Ascend Mate2,3,1
华为Ascend Mate7,6,6
华为P8,3,3
孔明社交管理,3,12
小米Note,6,3
小米手机2S,34,2
小米手机3,35,1
小米手机4,26,5
微博 weibo.com,886,3363
微博桌面,61,1
微博桌面安全版,2,2
搜狗高速浏览器,27,81
百度分享,6,3
百度浏览器,3,13
皮皮时光机,170,18
红米2A,1,1
红米手机,20,2
荣耀6,13,1
荣耀6 Plus,2,3
荣耀畅玩4X·快科技,14,4
金立智能手机,7,1
