ClientSource,NonRumor_Count
微博 weibo.com,3363
360安全浏览器,209
人民网微博,165
人民微管家,119
iPhone 6,100
中国新闻周刊网,90
专业版微博,89
iPhone客户端,83
搜狗高速浏览器,81
政务直通車,64
iPhone 6 Plus,60
null,48
Android客户端,35
digiwork,29
iPhone 5s,29
即刻笔记,22
WeicoPro,21
皮皮时光机,18
百度浏览器,13
孔明社交管理,12
三星Galaxy Note II,8
南方周末,7
UC浏览器电脑版,7
iPhone 6s,7
够快才畅快vivo X6,6
人民日报微博,6
华为Ascend Mate7,6
Weico.iPhone,5
小米手机4,5
三星Galaxy NOTE III,5
OPPO智能手机,4
荣耀畅玩4X·快科技,4
iPad客户端,4
小米Note,3
热门微博,3
荣耀6 Plus,3
华为P8,3
百度分享,3
vivo_X5Max,3
三星android智能手机,2
微博桌面安全版,2
红米手机,2
小米手机2S,2
分享按钮,2
美食达人推荐,2
关注我就送iPhone 6s,1
Smartisan T1,1
小米手机4c,1
坚果手机,1
(●—●)的iPhone 6s Plus,1
解放军报微博,1
小米手机3,1
红米2A,1
三星 GALAXY S5,1
Weico.Android,1
双卡双待 iPhone 6s Plus,1
FT中文网,1
360奇酷手机,1
隔壁老李的iPhone 6s Plus,1
荣耀6,1
金立智能手机,1
微博桌面,1
三星 GALAXY S6 edge,1
YunOS,1
iPad mini,1
Android,1
国资微博发布厅,1
华为Ascend Mate2,1
ZTE AXON天机,1
总裁的iPhone 6 Plus,1
