Keyword,Heat
中国,3153325
转发,2857806
孩子,1988615
关注,1913398
本微博,1781988
参与,1641861
nbsp,1627347
决定,1618532
一台,1616230
奥运会,1589311
第一,1587662
结束,1582684
伦敦,1542304
本届,1506862
代表队,1489698
金牌榜,1483576
假如,1450193
我们,1366555
绝对,1171992
每个,1170351
人送,1056002
上排,1012338
一人,1005301
朋友,1004498
绝不食言,958479
通讯,924995
一个,852403
如果,816994
帮忙,788538
加油,771552
真实,749599
小女孩,749577
网友,727017
微博,724724
看到,688748
起来,680588
这个,677430
北京,659577
没有,640215
截图,639111
扩散,633875
好友,600236
欢迎,582798
可以,579646
大家,568569
这么,560659
记者,558744
手机,558471
链接,551806
网页,550255
鸟叔,543567
不玩,531868
文字游戏,531538
一部,526536
排名,525871
公司,515867
领养,504100
你们,485938
一次,483656
见图,472783
大量库存,459251
说到做到,454435
华腾,448315
韩国,443101
谢谢,442195
愤怒,426324
达腾,424348
这些,422358
附近,420363
自己,419133
只有,412963
每天,412113
可能,409096
交警,403253
一下,401850
方便面,398687
现在,388100
删除,383792
就是,382409
爸爸,370364
老师,367375
实验,365439
说出,364729
春晚,364302
今天,359484
今天上午,358866
转转,357771
刘翔,356596
男人,354967
花园,353712
监控,353236
小学,351852
拐走,351546
有人,348324
小区,348094
山上,347204
大人,344608
寻人,342419
手机号码,341689
一个四十多岁,341463
联系人,339155
一个三岁,339023
最终,337945
何炅,336373
锦绣,334772
何建任,334363
你劉,334361
一袋,326204
回收站,325404
安平,319544
关镇,319544
母亲,318029
天一,314003
知道,313491
城管,313045
采访,311693
他们,309404
小孩,308969
村民,305745
已经,304409
医院,303906
为了,296551
发现,295454
照片,294386
根本,293313
为什么,289445
李刚,289426
律师,289417
时候,286441
还要,286406
急需,285757
一看,285256
最后,282973
近日,280956
今年,280497
大陆,278743
国家,276770
文件,275799
美国,275208
一条,273673
结果,273068
最新款,269538
新浪,268476
金牌,268361
因为,264691
汉字,263972
贫困山区,260926
电脑,260845
怎么办,260429
所有人,259433
还是,258001
什么,257503
万套,257003
爆料,256443
全部,255268
全球,252580
专家,249884
明星,247888
儿子,245610
开始,243565
所以,243082
领导,241962
对方,237565
抽出,236960
免费,236425
生命,236276
信息,236066
直接,236021
基金会,234619
不是,233723
分钟,231303
调查,230506
这是,228108
万元,228097
公布,227335
希望,225290
任何,223681
没出,222142
改送,222142
删微博,219499
目前,219356
家人,219071
坚持,215159
得到,214037
网络,213430
聊天,212336
深职,212336
今日,211555
工作,210821
台湾,210145
而是,208203
严重,207757
妈妈,206839
只要,206781
邀请,205500
我爸,202134
来到,200489
父母,200081
真的,199232
受害人,198933
广州,198089
垃圾,197661
最新,197290
实在,195772
via,195393
一份,194882
老人,194459
门口,193999
突然,193942
送出,193592
本人,193152
官方,193135
很多,192571
不要,191665
两句,191124
生活,191026
如此,189865
而且,189487
一起,188721
媒体,188177
衣服,182846
接到,182136
专机,182128
来得,182128
接送,182128
演出,182128
风靡,181899
官员,181527
娱乐,181321
真相,181220
消息,180819
除外,180743
人唱,180663
江南Style,180663
鸟语,180663
远远不如,180663
西部,180663
朴载,180663
请个,180663
听不懂,180663
多钱,180663
联系,179542
给出,179525
分要,179311
十分,178770
不敢,177855
by,177015
生日,175238
一曲,175075
物资,174360
上网,173952
组织,171978
姚明,171814
日本,171450
见到,171008
宝贵意见,170956
多提,170956
死亡,170529
买不起,169625
更爱用,169614
没关系,169291
电话,169222
由于,168670
军车,167946
房屋,167629
认证,166827
天津,166737
离开,166570
不好,165717
打死,165372
这样,164292
受灾,163731
跪下,163219
上海,162680
坍塌,161102
灾区,161015
华联,160192
更新,160166
自然村,159874
爷爷奶奶,159797
讨口,159773
棚子,159772
看望,159772
山中,159772
慰问,159772
每家,159772
路途,159772
村内,159772
每户,159772
救命,159705
女孩,159605
方舟子,159328
其实,157657
然后,157515
医生,157085
法院,156497
杜爸,156408
越南,156373
人民,156331
左右,156226
那些,155648
抵制,155547
英雄,155328
卖淫,154342
神器,154092
这里,153820
伤者,152950
建设,152370
不到,151733
政府,150332
学生,149676
出来,149499
清空,149218
小时,148940
鞋子,148828
香河,148091
时间,147343
力量,146274
处死,145907
每年,145782
研究,144848
活动,144489
系统,144287
男子,144224
不能,142892
去世,142349
吸毒,142231
一位,141911
欣慰,140801
河南,140785
正在,140475
搜救,139489
爆炸,139285
举报,138944
拐卖,138372
男孩,138119
发生,137904
多少,137475
山区,136302
共同,136056
原因,135484
头上,135315
一枪,135038
卡子,134769
喂药,134769
童装,134769
一名,134170
有种,134131
大度,134044
亦可,134044
提刀,134044
战场,134044
民族气节,134044
JYP,134044
社会主义,134044
宽容,134044
但是,133083
人士,132902
白色,132881
还有,132721
的话,132125
教育,130915
当时,130775
下午,130761
深圳,130595
应该,130326
二手房,129940
信不信,129461
手腕,129430
情况,128486
怎么,128332
家长,128272
央视,128237
遮住,127559
另外,126862
多年,126350
司机,126249
无人,126119
恢复,124767
只是,124313
记住,124209
花费,124118
超市,123484
进行,123129
名单,123112
作为,122099
可怜,121713
抽奖,120919
富士,120574
立得,120574
和解,120339
不会,120291
一定,120177
小心,120136
一年,119232
报道,119124
拍摄,118866
女子,118435
方法,117961
榴莲,117472
需要,117300
通过,117102
舍不得,116767
发布,116647
新闻,116232
警方,116187
属于,115938
各位,115930
全国,115122
赶紧,114576
所有,114125
居然,113215
男星,113025
兑现,112206
杜均,112069
问题,112063
导致,111967
现场,111575
两个,111498
出现,110989
同学,110879
永远,110551
觉得,110523
成都,110257
移民,110221
昨天,109626
芙蓉姐姐,109005
网上,108610
建嵘,108583
表示,108510
块钱,108503
南京,108208
宣布,108180
户口,107886
只能,107435
学校,107249
大款,107135
泰国,107053
自拍,106825
香港,106792
找到,106784
河北,106258
受伤,105188
快递,104774
以上,104698
农村,104487
平台,104379
大学,104328
幸运,104164
警察,103085
嫌疑人,103037
认识,102894
获得,102723
蛮子,102611
再次,102516
回来,102036
一样,101950
付出,101898
基本,101651
房祖名,101410
数码,101035
车子,100995
惊人,100830
抽取,100487
心里,99264
不理,99243
帮助,99065
人命,99026
醉酒,98835
未满,98636
反正,98372
日子,98288
大桥,98011
处理,97693
原来,97563
一部分,97522
完好,97419
黑白,97039
我信,96904
微博者,96828
开奖,96796
奖品,96796
太多装,96796
任选,96796
质量,96582
没车,96580
马赛克,96572
挂牌,96345
世界,96179
用户,96148
沈阳,96018
当场,95998
不满,95879
有用,95358
为证,95298
抢救,95031
整理,94961
法律,94960
告诉,94866
搜狐,94730
回家,94259
注意,93330
放入,93258
一辆,92957
好人,92699
仅仅,92423
李启铭,92082
原话,92044
拒绝,91983
停止,91863
打假,91397
一阵,91261
无论,91189
第一个,91086
根据,91070
颠倒黑白,90953
送到,90909
每人,90904
房产,90859
萨摩,90847
全身,90815
救人,90675
有多远,90563
要紧,90558
郑祥,90558
集体,90376
游客,90227
打官司,89948
搜索,89908
一切,89678
运行,89576
大量,89569
市场,89351
有时候,89141
只好,89065
及其,89012
局长,88917
天使,88887
父亲,88597
北京晚报,88358
加上,88261
黑客技术,88093
磁盘,88093
别着急,88093
即可,88010
医药费,87919
这位,87875
食品,87867
晚报,87792
in,87613
并且,87349
爱心,87168
五味,87132
杂谈,87132
频道,87115
到期,86992
动动,86990
空军,86916
动物,86491
尽量,86336
四川,86276
客户端,86137
敬请,86035
duang,85863
商标,85863
其中,85769
精选,85745
一案,85575
李天,85575
郑重声明,85546
银牌,85546
铜牌,85546
阅读,85514
ipad,85478
下载安装,85478
app,85478
欢迎您,85478
store,85478
Store,85478
iTunes,85478
正在连接,85478
狗狗,85308
幸福,84477
捐款,84453
本条,84409
一生,84281
麻袋,84168
分钱,83658
袁裕来,83559
苹果,83456
全世界,83340
相信,83286
两天,83194
双方,83193
控诉,83104
撤销,83100
三星,82851
电信,82801
一套,82665
长谈,82454
落实,82454
警车,82409
印度,82201
补偿,82198
物质,82178
看病,81808
牺牲,81560
奔走,81504
之后,81267
意向,81255
罚款,81206
极大,81180
经常,81020
面临,80905
一家,80855
贫困,80824
不明,80632
来自,80623
逃票,80368
已达成,80268
因李,80262
老百姓,79994
昨天下午,79921
斗士,79675
转战,79664
人身攻击,79664
微博未,79664
立此,79664
中国电信,79664
天不在,79664
撑腰,79664
书记,79541
一直,79357
无法,79319
锁定,79237
必须,78885
油炸,78870
签证,78734
速食,78733
珍惜,78662
家里,78588
gt,78551
奶奶,78520
继续,78461
手里,78321
围观,78301
我怒,78204
智障,78204
发抖,78204
右边,78204
舅爷,78204
银行账号,78204
转院,78204
杜传旺,78204
申请,77095
赶快,77052
日晚,76924
可爱,76824
志愿者,76709
网站,76381
高度,76284
最近,76083
艾冬梅,76068
帮帮,75964
医疗,75867
家属,75653
不了,75398
双腿,75054
平安,75018
每周五,74834
消防官兵,74833
宝贝,74814
终于,74645
以前,74619
致死,74579
于是,74493
双休日,74254
逸夫,74173
社会,74172
上下,74170
塘沽,74023
崩溃,73918
狗肉,73814
事件,73813
世上,73801
叔叔,73661
宝贝儿,73543
必转,73507
部门,73441
危险,73431
花钱,73309
无数,73104
被迫,72763
女人,72434
经李,72403
方便,72327
人民币,72327
战胜,72086
权钱,72056
刚刚,72043
副局长,71958
取消,71917
儿童,71909
quot,71828
峰回路转,71801
从而,71639
跪求,71579
从事,71522
结局,71520
积蓄,71496
微信里,71496
丝带,71474
有劳,71474
七里,71474
前求,71474
贵指,71474
焚尸,71474
七天,71474
贵贱,71474
品种,71474
归宿,71474
苦命,71474
检所,71474
渠留,71474
不得,71391
小男孩,71355
腾讯,71298
长沙,70837
使用,70735
先生,70629
推荐,70583
接受,70395
掌握,70042
教师,70024
徐昕,69787
治疗,69724
强奸,69569
体内,69366
地沟油,69256
安利,69251
谣言,69241
这次,69200
正义,69175
自杀,69168
可口可乐,68898
重庆,68778
自闭症,68697
Iris,68697
简单,68670
重谢,68540
浙江省,68286
无奈,68222
实用,68202
湖州市,68082
阴性,68057
必有,68027
救命之恩,68027
一发,68001
rh,67999
抢救无效,67969
小手,67959
下次,67873
没准,67849
实现,67848
南太湖,67829
沈笑,67829
经验,67518
沈阳军区,67458
漯河,67456
房管局,67456
头问,67456
枪顶,67456
再敢,67456
收入,67087
公开,66939
英语,66657
当地,66445
创办,66397
身上,66285
翻译,66052
Richard,65993
Sears,65993
网名,65993
一分钱,65993
系统性,65993
贫困潦倒,65993
找个,65993
困境,65993
字源,65993
一只,65799
中毒,65782
早点,65488
辐射,65304
胶质瘤,65304
睡觉时,65304
行动,65061
电子,64705
求婚,64702
至今,64623
老奶奶,64497
我国,64460
抗议,64405
就要,64376
从现,64230
扔下,63929
湖北,63637
支持,63506
迅速,63379
执法,63250
长江,63247
证实,62943
检查,62858
身穿,62792
太难,62782
几次,62761
个人,62561
演艺圈,62518
熊猫,62460
指着,62438
裤子,62026
产品,61670
手术,61508
幼儿园,61440
安全带,61428
妇女,61268
仔细观察,61200
故障,61090
教学楼,61001
设施,60992
邵逸夫,60959
尼玛,60830
三峡工程,60794
家中,60682
好心人,60673
文章,60492
殴打,60464
威胁,60373
付钱,60327
艾美,60287
件套,60287
限量版,60287
留下,60234
古城,60131
八角,60123
天下,60123
百科,59983
击落,59945
爸妈,59652
看看,59447
每转,59415
颤抖,59356
眼泪,59212
车上,58787
可能性,58776
几个,58728
马拉松,58696
坑爹,58665
中美,58629
绿色,58587
增加,58431
注册,58356
每位,58315
多一人,58308
终有,58308
好好,58209
歌手,58197
车主,58185
公益,57738
啪啪,57674
曝光,57657
五十万,57631
支助,57631
闯红灯,57466
虽然,57436
大连,57266
成人,57242
用品,57242
周岁,57186
保证,57101
时评,57034
宝马,56854
人大代表,56720
知情者,56642
千真万确,56630
何在,56627
指出,56617
阿婆,56510
秘密,56499
委员,56312
带来,56304
作家,56074
眼保健操,55944
地方,55852
围殴,55745
派出所,55687
视频,55635
群众,55541
干部,55536
观察,55447
自杀身亡,55263
皮鞋,55080
不幸,54832
张峻,54625
呵呵,54485
轮奸,54321
小姐,54055
截止,53847
管理员,53795
惊现,53792
科技,53641
中央,53621
大黄,53607
搜罗,53536
执行,53513
恐吓,53393
认为,53312
一些,53283
引起,53078
湖南省,53077
诺基亚,53038
要求,52977
联合国,52794
权贵,52746
第二,52585
行驶,52538
大学生,52529
宠物,52470
扣掉,52314
城市,52072
抢走,52051
凌晨,52035
互动,51983
诸暨,51921
多一份,51917
刚出,51914
陈晨,51914
烫伤,51914
检察官,51914
两岁,51914
提醒,51863
首席,51810
对此,51799
公理,51760
收到,51719
智商,51670
叶匡政,51611
中文,51543
烧烤,51517
大润发,51434
英文,51379
捐赠,51308
工程,51267
麻烦,51234
地球,51116
英国,51017
震惊,50726
这种,50715
前往,50613
这回,50513
账号,50508
宣传,50437
透露,50380
中国队,50358
女生,50321
某市,50306
路段,50285
内地,50278
下落,50264
有个,50228
几乎,50076
材料,50005
拯救,49854
教养,49838
米左右,49835
自保,49829
主持人,49774
周边,49733
眼中,49667
提供线索,49660
比赛,49614
西游记,49561
身高,49266
要么,49142
栏高,49081
米栏,49081
Mico,49024
偏瘦,49024
已近,49024
育秀,49024
双语,49024
咖色,49024
深蓝色,49024
混血,49024
大衣,49024
棉布,49024
寸头,49024
教授,48933
以及,48910
毛钱,48795
降低,48766
快转,48470
百姓,48461
内幕,48438
线索,48432
世界末日,48363
收款人,48333
考虑,48331
金沙江,48306
伤心,48292
轻信,48291
这桥,48290
不争气,48290
干湿,48290
引力,48290
差异,48290
吸水,48271
栏底,48271
为何,48237
航班,48157
骆驼,48154
看见,48099
有关,48077
到底,48018
立刻,47966
做出,47879
延误,47818
图片,47738
兴趣,47726
活着,47707
金毛,47554
安乐死,47534
杀狗场,47511
捣毁,47511
德牧,47496
有要,47490
道歉,47486
失去,47217
几百只,47193
复制粘贴,47182
跨栏,47159
实行,47074
皮肤,46842
哈士奇,46754
古牧,46753
泰迪,46744
刮风,46744
奥组萎,46744
下雨,46744
两人,46725
未果,46722
李毅,46706
开幕,46706
加班加点,46706
拼装,46706
参差不一,46706
知名度,46657
无耻,46544
经济,46537
亲属,46513
身边,46418
敏感,46292
公车,46276
上街,46247
底下,46210
广西,46067
三天,45979
提出,45954
年轻,45862
小伙,45810
Grace,45798
照顾,45764
健康,45760
主要,45741
恐惧,45599
承诺,45569
患者,45451
驾驶,45446
事情,45442
能力,45375
校长,45369
水利,45310
东西,45231
名字,45165
伤害,45111
昏迷,45080
非常,45077
丈夫,45064
三头,45050
五个,45025
感觉,45004
地铁,44965
与其,44933
坐在,44897
周杰伦,44745
入世,44664
下去,44657
浙江,44653
年检,44554
进去,44548
爱河,44524
坠入,44524
乐园,44479
一路,44477
取代,44455
打工,44385
家庭,44364
保护,44357
怀疑,44350
或者,44317
退学,44316
汽车,44245
竟是,44222
粉丝,44185
小丹,44180
吉他,44161
长得,44161
一首,44131
优雅,44121
只身,44108
溃烂,44104
解渴,44093
卖不出去,44093
苏牧,44093
名狗,44093
鼻骨,44093
缩起来,44093
可卡,44093
污水,44093
双眼,44093
相关,43959
明显,43950
见面,43930
拥有,43894
如何,43837
残废,43818
当小丹,43755
还弹,43755
分别,43738
呼吁,43657
加入,43623
艺人,43605
动物园,43495
不管,43374
为生,43362
老伴,43280
航空公司,43266
拦下,43212
赠送,43151
凄凉,43104
前面,43029
官网,42789
一句,42720
勾结,42712
致敬,42625
私家车,42486
西安,42338
左小祖咒,42335
昨晚,42298
给予,42298
地震,42228
小贩,42219
毁灭,42164
救治,42108
焦点访谈,42096
撞伤,42084
扣下,42084
所驾,42084
装入,42084
装有,42084
湘乡市,42084
花坪,42084
台北,42067
资料,41972
希拉里,41955
核实,41905
为求,41835
旅游,41826
亿美元,41773
据说,41691
乘客,41601
解放,41565
无人机,41469
参加,41381
乞讨,41291
非洲,41166
变成,41151
老板,41019
教练,40989
全国政协,40969
真正,40928
维持,40912
竟然,40881
一群,40787
提高,40768
新华社,40742
学者,40736
道德,40708
造假,40671
性关系,40647
去年,40640
不让,40586
主人,40255
微信,40220
二十几个,40218
做到,40218
老汉,40191
维也纳,40184
时说,40171
拿到,40018
至少,40015
出生,39883
死刑,39878
食用,39822
广东,39811
一种,39755
豪华,39705
四川省,39648
关于,39553
有限公司,39531
众清,39366
老虎,39319
全体,39317
之一,39284
程度,39282
立即,39251
李娜,39224
章立凡,39182
硬币,39161
外面,39143
多多,39057
就算,38975
删博,38919
