user_id,reposts,fans,follows,total_posts
2803550292,79,5047,1770,1979
1000432103,1,9049,490,28017
5649210127,0,8,82,378
1628620650,5,3362,1908,5447
2772451683,0,32,20,133
3070269521,0,113,27,1084
1625941483,6,14445,1907,9128
1735687122,3,4527,669,1532
1607937324,102,64230,3867,82329
2635644174,0,23,104,261
1829623501,0,146,140,3607
2200471301,341,301065,2406,11047
2273680940,136,91859,773,21385
3055943592,1,190,100,22
1055415323,18,6066,853,11909
1935292274,1325,1635,1619,40354
1223783864,286,268084,751,2072
2305235737,2,1393,511,6945
5138659188,0,41,37,180
1398129094,45,32372,1822,1501
2068418487,2,1691,672,1160
1674697562,12,133540,1563,6103
1175521553,58,9854,251,25
3234847604,0,167,108,307
1698586340,1918,6189,146,4725
2445822407,5,1182,477,15099
1450409871,149,166306,50,400
2915715911,0,11862,526,9794
5605844441,0,15,87,135
5159626215,0,4611,777,918
5543481387,0,53,171,52
3490990141,1,66,67,341
1930168350,283,70157,1968,5291
5353295819,0,2,99,15
2438055410,22,104243,105,2720
1791362407,1,175,1257,1050
5589577183,0,16,285,21
2603306917,59,1966,433,1483
2724843491,0,293,257,546
1775479357,0,1794,382,2388
2062518203,9,2940,802,9507
1862850673,2,1355,708,6833
2293062781,229,335853,185,8113
5125184615,0,1525,1831,1549
2116066994,62,1164,471,3203
2389914323,21,33510,1273,8703
2815097234,455,7262153,673,31922
2778941557,0,61,14,358
1837387961,0,209,690,643
1040445513,583,239778,1989,75081
2688339173,0,5091,553,63
1519168260,0,114,69,650
5540527075,0,5068,541,402
5077495576,1,511,133,240
1248924493,207,174798,398,30098
5579159608,0,26,71,107
1872826893,0,3948,189,129
5579587452,0,46,156,357
2940255932,0,136,102,269
2694029673,0,979,1801,648
1858423412,251,13902,2167,6152
3033826921,0,42,392,405
2910198352,0,61,65,361
1697601814,126,5284427,1364,59735
2771929673,0,1131,276,771
2388348291,2,91,111,528
2854132312,10,6941,543,4870
3301515271,0,217,773,194
2034347300,199,2822808,942,84199
1911580184,4,14341,1989,3905
1978512283,47,876,214,1182
1002665483,3,3074,258,13358
2375306141,0,63,212,505
1253744212,10,9749,912,7700
1252619240,240,232389,242,7409
1844504987,0,1308,137,212
1737470741,119,646226,81,6605
3961047109,0,9,104,44
2217363600,9,2517,20,251
2738894620,94,74746,2673,10009
3031594270,1,55,47,87
1396769721,0,1406,1119,5525
1722431052,44,9888,2001,8111
1796610021,130,1787,563,2576
2193971747,160,71,233,188
3705765657,0,31074,2332,184
1652188170,95,132,230,483
2133263143,0,512,26,5333
1728892794,48,143078,3865,62794
2093694955,4361,2335,106,521
5406191923,0,4,14,12
2824576494,687,1282,935,384
2724206137,0,84,1947,1100
3212188804,44,1760,1386,498
3136398855,4,304,519,16304
2033210341,11,7879,1377,7926
1720072175,32,1032,449,1969
1952965122,1,831,337,1340
1990870554,0,456,257,2361
1971573200,0,257,149,2458
5747473565,0,1,35,1
2099591715,25,6812,244,2450
5649389117,2,20,70,356
1734530730,124,4320881,1932,65215
2314073423,0,1193,222,5091
1720962692,116,5683474,775,77552
2131147370,1,9380,0,4
3318492242,249,366,436,332
1232744765,3,838,521,3748
1628595353,103,8690,1229,1980
3122786630,43,883,302,179
1095380460,99,9672,1313,3940
2716041613,0,168,679,162
2727231264,0,254,250,351
1050970895,0,9,49,176
2561375070,0,363,173,790
2641984354,165,55301,1010,7011
5158730614,0,12,60,135
1498764931,170,48481,1159,24026
2946707142,2,29,91,350
3623022633,1,31,28,73
2771397570,5685,7791,1323,3740
1557893067,49,60231,1406,13620
1212971133,90,11023,777,2264
5563035405,1,121,431,193
2094639695,0,66,185,1726
2814743150,0,104,37,232
1077199847,86,35,26,70
1280289893,112,193070,2195,7027
2669342561,0,80,140,45
1904799102,10,52859,2912,4877
1406387602,2010,787854,2325,36151
1626112207,144,47396,1829,23207
2676583253,0,219,109,100
